exclude	exclude.reason	comments	rodent.ds	rodent.sub	animal_id_orig	rodent.session	rodent.session.orig	rodent.run	rodent.species	rodent.strain	rodent.strain.orig	rodent.sex	rodent.age	rodent.weight	main.experimenter.gender	head-plate	body.restrained	free.behaving	anesthesia.before.acquisition	anesthesia.before.acquisition.orig	average.breathing.rate	average.heart.rate	average.temperature	MRI.vendor	MRI.field.strength	MRI.cryocoil	fMRI.sequence	MRI.TR	MRI.TE	MRI.in.plane.resolution (mm)	MRI.slice.thickness	Link.to.paper	Link.to.Download.data
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	1	A040912	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	1	A040912	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	1	A040912	5	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	1	A040912	6	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	1	A040912	7	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	2	A060912	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	2	A060912	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	2	A060912	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	2	A060912	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	2	A060912	5	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	24	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	2	A060912	6	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	2	A060912	7	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	12	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	2	A060912	8	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200301	4	1	A200612	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200301	4	1	A200612	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200301	4	1	A200612	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200301	4	1	A200612	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200301	4	1	A200612	5	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200301	4	1	A200612	6	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200301	4	1	A200612	7	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200301	4	1	A200612	8	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200301	4	1	A200612	9	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	24	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200302	7	1	B040912	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200302	7	1	B040912	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	12	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200302	7	1	B040912	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200302	7	1	B040912	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200302	7	1	B040912	5	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200302	7	1	B040912	6	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200302	7	1	B040912	7	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200303	8	2	B060912	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200303	8	2	B060912	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200303	8	2	B060912	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200303	8	2	B060912	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200303	8	2	B060912	5	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200303	8	2	B060912	6	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	12	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200303	8	2	B060912	7	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200303	8	2	B060912	8	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200304	2	1	B190612	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200304	2	1	B190612	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200304	2	1	B190612	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200304	2	1	B190612	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	1	B200612	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	1	B200612	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	1	B200612	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	1	B200612	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	24	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	1	B200612	5	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	1	B200612	6	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	12	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	1	B200612	7	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	1	B200612	8	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
