exclude	exclude.reason	comments	rodent.ds	rodent.sub	animal.id.orig	rodent.session	rodent.session.orig	rodent.run	rodent.species	rodent.strain	rodent.strain.orig	rodent.sex	rodent.age	rodent.weight	main.experimenter.gender	head-plate	body.restrained	free.behaving	anesthesia.before.acquisition	anesthesia.before.acquisition.orig	average.breathing.rate	average.heart.rate	average.temperature	MRI.vendor	MRI.field.strength	MRI.cryocoil	fMRI.sequence	MRI.TR	MRI.TE	MRI.in.plane.resolution	MRI.slice.thickness	Link.to.paper	Link.to.Download.data
		data is the same BIDS_raw and BIDS_input-RABIES	1002	100206	IN-45002-22	1	C220523	1	mouse	C57BL/6	C57BL/6	m	20-24	25.7	m	y	n	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	2000	16.385	30	0,25 x 0,25		
		data is the same BIDS_raw and BIDS_input-RABIES	1002	100207	IN-08441-23	1	D060723	1	mouse	C57BL/6	C57BL/6	m	16-20	32.2	m	y	n	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	2000	16.385	30	0,25 x 0,25		
		fslorient, fslchpixdim 	1003	100300	1	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	m	57-58	32.20	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		fslorient, fslchpixdim 	1003	100301	2	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	m	57-58	29.00	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		fslorient, fslchpixdim 	1003	100302	3	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	f	57-58	32.60	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		fslorient, fslchpixdim 	1003	100303	4	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	f	58.00	32.80	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		fslorient, fslchpixdim 	1003	100304	5	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	m	52-53	33.60	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		fslorient, fslchpixdim 	1003	100305	6	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	m	52-53	40.50	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		fslorient, fslchpixdim 	1003	100306	7	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	f	52-53	33.50	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		fslorient, fslchpixdim 	1003	100307	8	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	m	52.00	40.60	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		fslorient, fslchpixdim 	1003	100308	9	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	f	52-53	38.50	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		fslorient, fslchpixdim 	1003	100309	10	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	f	52-53	35.10	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		fslorient, fslchpixdim 	1003	100310	11	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	m	46-47	39.60	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		fslorient, fslchpixdim 	1003	100311	12	1	1	1	mouse	C57BL/6	Vglut1-IRES2-Cre-D (jax:023527)	m	46-47	36.30	m	y	y	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	1000	15	0.235	0.6		
		3dresample	1004	100400	sub-WT05	1	1	1	mouse	C57BL/6	c57bl6	m	9m	35	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100400	sub-WT05	2	1	1	mouse	C57BL/6	c57bl7	m	9m	35	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100400	sub-WT05	2	1	2	mouse	C57BL/6	c57bl7	m	9m	35	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100400	sub-WT05	2	1	3	mouse	C57BL/6	c57bl7	m	9m	35	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100401	sub-WT17	1	1	1	mouse	C57BL/6	c57bl8	f	9m	26	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100401	sub-WT17	2	1	1	mouse	C57BL/6	c57bl6	f	9m	26	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100401	sub-WT17	2	1	2	mouse	C57BL/6	c57bl6	f	9m	26	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100401	sub-WT17	2	1	3	mouse	C57BL/6	c57bl6	f	9m	26	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100402	sub-WT18	1	1	1	mouse	C57BL/6	c57bl6	f	9m	23	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100402	sub-WT18	2	1	1	mouse	C57BL/6	c57bl6	f	9m	23	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100402	sub-WT18	2	1	2	mouse	C57BL/6	c57bl6	f	9m	23	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100402	sub-WT18	2	1	3	mouse	C57BL/6	c57bl6	f	9m	23	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100403	sub-WT23	1	1	1	mouse	C57BL/6	c57bl7	m	9m	30	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100403	sub-WT23	1	1	2	mouse	C57BL/6	c57bl7	m	9m	30	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100403	sub-WT23	2	1	1	mouse	C57BL/6	c57bl8	m	9m	30	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100403	sub-WT23	2	1	2	mouse	C57BL/6	c57bl8	m	9m	30	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100403	sub-WT23	2	1	3	mouse	C57BL/6	c57bl8	m	9m	30	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100404	sub-WT25	1	1	1	mouse	C57BL/6	c57bl9	m	9m	32	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100404	sub-WT25	2	1	1	mouse	C57BL/6	c57bl10	m	9m	32	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100404	sub-WT25	2	1	2	mouse	C57BL/6	c57bl10	m	9m	32	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
		3dresample	1004	100404	sub-WT25	2	1	3	mouse	C57BL/6	c57bl10	m	9m	32	f	y	y	y	n	n	NA	NA	NA	Bruker	11.7	n	GE-EPI	1800	11	anat = 0.2, func = 0.31	anat = 0.2, func = 0.31		
y		fslorient. 1 anat img per subj, in ses-1. 	1005	100500	1	1	E17	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	GE-EPI	1500	12.5	0.18*0.18	0.4		
		fslorient	1005	100500	1	2	E18	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	GE-EPI	1500	12.5	0.18*0.18	0.4		
y		fslorient	1005	100500	1	3	E23	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	GE-EPI	1500	25	0.125*0.125	0.4		
y		fslorient	1005	100500	1	4	E20	1	mouse	C57BL/6	C57BL/6	m	NA	27.4	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	GE-EPI	1500	25	0.125*0.125	0.4		
y		fslorient	1005	100500	1	5	E29	1	mouse	C57BL/6	C57BL/6	m	NA	27.4	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	GE-EPI	2500	25	0.125*0.125	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	2	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	3	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	4	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
y		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	5	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
y		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	6	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	7	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	8	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	9	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	10	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	11	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	12	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	13	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	14	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	15	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	16	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	17	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	18	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	19	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	20	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	21	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	22	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	23	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img. 	1005	100501	2	1	E18	24	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1 only keep T2 anat img	1005	100502	7	1	E7	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	GE-EPI	1500	12.5	0.18*0.18	0.4		
y		fslorient. only keep T2 anat img	1005	100502	7	2	E18	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	SE-EPI	1500	25	0.15*0.15	0.4		
y		fslorient. only keep T2 anat img	1005	100502	7	3	E19	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	SE-EPI	1500	25	0.15*0.15	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	2	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	3	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	4	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	5	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	6	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	7	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	8	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	9	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	10	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	11	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	12	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	13	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	14	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	15	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	16	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	17	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	18	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	19	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	20	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	21	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	22	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	23	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. only keep T2 anat img	1005	100502	7	4	E10	24	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
		fslorient. 1 anat img per subj, in ses-1	1005	100503	15	1	E19	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	SE-EPI	1500	25	0.15*0.15	0.4		
		fslorient	1005	100503	15	2	E20	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	SE-EPI	1500	25	0.15*0.15	0.4		
		fslorient. 1 anat img per subj, in ses-1	1005	100504	16	1	E26	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	GE-EPI	1500	25	0.14*0.14	0.4		
y		fslorient	1005	100504	16	2	E35	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	GE-EPI	1500	12.5	0.18*0.18	0.4		
y		fslorient	1005	100504	16	3	E57	1	mouse	C57BL/6	C57BL/6	m	NA	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	y	GE-EPI	1500	12.5	0.18*0.18	0.4		
		fslorient	1005	100505	109	1	E4	1	mouse	C57BL/6	C57BL/6	m	10	NA	f	y	y	n	y	isoflurane	NA	NA	NA	Bruker	9.4	n	GE-EPI	600	14	0.2*0.2	0.4		
